күн; n; nom; sg; p3sg
жакшы; adj
мажбур; adj
аюум; n; nom; sg; p1sg
аюуң; n; nom; sg; p2sg
келгем; v; past; px1sg
бар; v
жок; v
саламатсыңарбы; syr
саламатчылык; syr
эже-агайлар; n; nom; pl; p3pl
агай-эжелер; n; nom; pl; p3pl
Бугунку; adv
глобалдык; adj
таза; adj
жер; n; nom; sg; p3sg
рейтинг; n; nom; sg; p3sg
деп; v; gna
деген; v; gpr_perf
болуп; v; act; gna_perf
экен; cop; ger
эмес; cop; neg
болот; v
алып; v; act; gna_perf
бол; v; act; imp
алса; v; act; cnd
болсо; v; act; cnd
жол; n; nom; sg; p3sg
жана; conj
деди; v; act; ind_past
керек; mod
калды; v; act; ind_past
өзүн; prn; qnt
калган; v; act; gpr_perf
ич; v; act; imp
турат; v
алды; v; act; ind_past
болду; v; act; ind_past
алат; v; act; ind_fut
жатат; v; act; ind_fut
келет; v;act; ind_fut
дейт; v
берет; v; act; ind_fut
кет; v; act; imp
учуу; v; act; ger
алган; v; act; gpr_perf
кылып; v; act; gna_perf
ала; adj
кел; v; act; imp
бер; v; act; imp
берүү; v; act; imp
айткан; v; act; gpr_perf
айтып; v; act; gna_perf
туура; adj
тарап; v; act; gna_perf
чык; v; act; imp
чыгып; v; act; gna_perf
карап; v; act; gna_perf
окуу; v; act; imp
аз; adj
мындай; adj
жүр; v; act; imp
туруп; v; act; gna_perf
албай; v; neg; gna_impf
жаңы; adj
оо; ij
бил; v; act; imp
жалпы; adj
форма; n; nom; sg; p3sg
калып; v; act; gna_perf
көр; v; act; imp
тарт; v; act; imp
элек; n; nom; sg; p3sg
кылган; v; act; gpr_perf
улам; adv
күт; v; act; imp
бас; v; act; imp
тий; v; act; imp
суроо; n; nom; sg; p3sg
коюп; v; gna_perf
кетет; v; act; ind_fut
алыш; v; ger_pres
кылат; v; act; ind_fut
отур; v; act; imp
өс; v; act; imp
деңгээл; n; nom; sg; p3sg
жап; v; act; imp
кетенчикте; v; act; imp
сактан; v; act; imp
сат; v; act; imp
батыр; v; act; imp
кечик; v; act; imp
айлан; v; act; imp
алдаста; v; act; imp
алмаш; v; act; imp
баамда; v; act; imp
байка; v; act; imp
бийле; v; act; imp
бирик; v; act; imp
бур; v; act; imp
жакында; v; act; imp
жашырын; v; act; imp
жогол; v; act; imp
жумша; v; act; imp
жылмай; v; act; imp
кайт; v; act; imp
карман; v; act; imp
катыш; v; act; imp
кач; v; act; imp
кездеш; v; act; imp
келиш; v; act; imp
кий; v; act; imp
корк; v; act; imp
курчан; v; act; imp
кыйкыр; v; act; imp
кышта; v; act; imp
кыялдан; v; act; imp
ойно; v; act; imp
олтур; v; act; imp
отто; v; act; imp
өкүн; v; act; imp
өл; v; act; imp
салгылаш; v; act; imp
секир; v; act; imp
соодала; v; act; imp
суктан; v; act; imp
суран; v; act; imp
сүз; v; act; imp
сүйлө; v; act; imp
токто; v; act; imp
төк; v; act; imp
түнө; v; act; imp
тый; v; act; imp
ук; v; act; imp
умтул; v; act; imp
катуу; adj
толук; adj
так; adv
өткөр; v; act; imp
уулуу; adj
негизги; adj
жүрөт; v; act; ind_fut
түшүп; v; gna_perf
ылайык; adj
кылуу; v; ger
карата; v; gna_impf
сүйлөш; v; ger_pres
боло; v; gna_impf
чакыр; v; act; imp
чакыруу; v; ger
чыгат; v; act; ind_fut
акылдуу; adj
система; n; nom; sg; p3sg
койгон; v; act; ind_past
жар; v; act; imp
атал; v; act; imp
ташта; v; act; imp
өнүк; v; act; imp
өнүгүү; v; ger
улуттук; adj
тең; adv
жазыл; v; act; imp
президент; n; nom; sg; p3sg
жибер; v; act; imp
белгиле; v; act; imp
белгилөө; v; ger
кирип; v; gna_perf
мына; prn; dem
өзү; prn; qnt
алдында; adv
иштеп; v; gna_perf
түн; n; nom; sg; p3sg
жогорку; adj
ур; v; act; imp
өтүп; v; gna_perf
ачык; adj
илимий; adj
ач; v; act; imp
ушундай; adj
өзгөчө; adj
жет; v; act; imp
жеткен; v; act; ind_past
айрым; adj
болор; v; act; ind_fut
ил; v; act; imp
жаша; v; act; imp
коюл; v; act; imp
окшо; v; act; imp
окшоо; v; ger
караган; v; act; ind_past
байланыштуу; adj
жөнө; v; act; imp
түшкөн; v; gpr_perf
ая; v; act; imp
айоо; v; ger
барат; v; act; ind_fut
тура; v; act; imp
туроо; v; ger
компьютер; n; nom; sg; p3sg
ноутбук; n; nom; sg; p3sg
атып; v; gna_perf
оку; v; act; imp
окуп; v; gna_perf
ойноп; v; gna_perf
аяп; v; gna_perf
байкап; v; gna_perf
сом; n; nom; sg; p3sg
айтат; v; act; ind_fut
мин; v; act; imp
ишен; v; act; imp
чеч; v; act; imp
кайтуу; v; ger
азыркы; adj
кантип; prn; itg
каала; v; act; imp
каалап; v; gna_perf
 өп; v; act; imp
өбуу; v; ger
өбүп; v; gna_perf
карма; v; act; imp
кармоо; v; ger
кармап; v; gna_perf
баягы; adv
баштал; v; act; imp
бүлө; n; nom; sg; p3sg
алыс; adj
окуучу; n; nom; sg; p3sg
чап; v; act; imp
чабуу; v; ger
чабып; v; gna_perf
ыйла; v; act; imp
ыйлоо; v; ger
ыйлап; v; gna_perf
мындан; adv
үйрөн; v; act; imp
тикте; v; act; imp
тиктөө; v; ger
тиктеп; v; gna_perf
айтты; v; act; ind_past
аныкта; v; act; imp
аныктап; v; gna_perf
аныктоо; v; ger
бөлүн; v; act; imp
угуп; v; gna_perf
жумуш; n; nom; sg; p3sg
тол; v; act; imp
таап; v; gna_perf
датка; n; nom; sg; p3sg
бара; v; gna_impf
чыгуу; v; ger
изилдеп; v; gna_perf
аткар; v; act; imp
фонд; n; nom; sg; p3sg
тааны; v; act; imp
ачыл; v; act; imp
этиш; <n><nom><sg><p3sg>
кир; v; act; imp
корго; v; act; imp
коргоо; v; ger
коргоп; v; gna_perf
кошул; v; act; imp
жарат; v; act; imp
башта; v; act; imp
баштап; v; gna_perf
баштаган; v; act; ind_past
камсыз; adj
район; n; nom; sg; p3sg
замат; adv
ички; adj
зарыл; mod
көтөр; v; act; imp
жазып; v; gna_perf
сүй; v; act; imp
элдик; adj
чыгыш; n; nom; sg; p3sg
өзүнчө; adv
буз; v; act; imp
төмөнкү; adj
грамматикалык; adj
сана; v; act; imp
санал; v; act; imp
коомдук; adj
жашаган; v; gpr_perf
кылым; n; nom; sg; p3sg
алдоо; v; ger
алдап; v; gna_perf
мамлекеттик; adj
укта; v; act; imp
уктоо; v; ger
уктап; v; gna_perf
туул; v; act; imp
ырда; v; act; imp
жүргүз; v; act; imp
чыга; v; gna_impf
китепкана; n; nom; sg; p3sg
колдонуу; v; ger
башкар; v; act; imp
алдынча; adv
танда; v; act; imp
тандоо; v; ger
тандап; v; gna_perf
бөл; v; act; imp
кийинки; adj
кошо; v; gna_impf
сура; v; act; imp
сурап; v; gna_perf
согуш; n; nom; sg; p3sg
унут; v; act; imp
коюу; v; ger
орган; n; nom; sg; p3sg
учуп; v; gna_perf
эсепте; v; act; imp
эсептеп; v; gna_perf
эсептөө; v; ger
терең; adj
техникалык; adj
аке; n; nom; sg; p3sg
ээле; v; act; imp
ээлөө; v; ger
ээлеп; v; gna_perf
келечек; n; nom; sg; p3sg
айтылган; v; gpr_perf
өр; v; act; imp
котор; v; act; imp
акыркы; adj
жарал; v; act; imp
калтыр; v; act; imp
үз; v; act; imp
жыштык; n; nom; sg; p3sg
сүйлөм; n; nom; sg; p3sg
төмөндө; v; act; imp
угул; v; pass; imp
көчө; n; nom; sg; p3sg
башкы; adj
тын; v; act; imp
сез; v; act; imp
сунуш; n; nom; sg; p3sg
ыкма; n; nom; sg; p3sg
долбоор; n; nom; sg; p3sg
караш; v; ger_pres
кезе; n; nom; sg; p3sg
тиешелүү; adj
түшүр; v; act; imp
жылкы; n; nom; sg; p3sg
өт; v; act; imp
чакчыл; n; nom; sg; p3sg
ыраазы; adj
сал; v; act; imp
тарыхый; adj
билдир; v; act; imp
ула; v; act; imp
улоо; v; ger
улап; v; gna_perf
эки; num; card
бир; num; card
үч; num; card
төрт; num; card
беш; num; card
алты; num; card
жети; num; card
сегиз; num; card
тогуз; num; card
он; num; card
жыйырма; num; card
отуз; num; card
кырк; num; card
элүү; num; card
жетимиш; num; card
алтымыш; num; card
сексен; num; card
токсон; num; card
жүз; num; card
миң; num; card
миллион; num; card
миллиард; num; card
триллион; num; card
квадриллион; num; card
квинтиллион; num; card
секстиллион; num; card
септиллион; num; card
октиллион; num; card
нониллион; num; card
ура; ij
ураа; ij
изде; v; act; imp
тайгалан; v; act; imp
үйрөт; v; act; imp
сакта; v; act; imp
сактоо; v; ger
бекен; post
министр; n; nom; sg; p3sg
университет; n; nom; sg; p3sg
оорузат; n; nom; sg; p3sg
кон; v; act; imp
кете; v; gna_impf
иште; v; act; imp
душман; n; nom; sg; p3sg
жаса; v; act; imp
сонун; adj
айтса; v; act; cnd
чейинки; adj
байыркы; adj
экономикалык; adj
экономика; n; nom; sg; p3sg
түзүлүш; n; nom; sg; p3sg
кичинекей; adj
бата; n; nom; sg; p3sg
жеткир; v; act; imp
таштоо; v; ger
таштап; v; gna_perf
курам; n; nom; sg; p3sg
түрк; n; nom; sg; p3sg
жөнөкөй; adj
калыптыр; v; act; ind_past
түшүндүр; v; act; imp
бүткөн; v; act; ind_past
кубан; v; act; imp
белгиленген; v; gpr_perf
текшер; v; act; imp
жергиликтүү; adj
сун; v; act; imp
чурка; v; act; imp
чуркоо; v; ger
жеп; v; gna_perf
ошондо; conj
сол; adj
оң; adj
унчук; v; act; imp
жазылган; v; gpr_perf
жылдык; adj
арнал; v; act; imp
алгачкы; adj
жасап; v; gna_perf
сыйла; v; act; imp
сыйлоо; v; ger
сыйлап; v; gna_perf
кээ; cnjcoo
турса; v; act; cnd
министрлик; n; nom; sg; p3sg
кеңири; adj
этип; v; gna_perf
баала; v; act; imp
баалоо; v; ger
баалап; v; gna_perf
таян; v; act; imp
аттан; v; act; imp
мурдагы; adj
улант; v; act; imp
жасоо; v; ger
ири; adj
окут; v; act; imp
табыл; v; pass; imp
аткан; v; gpr_perf
бышыктооч; n; nom; sg; p3sg
алп; n; nom; sg; p3sg
адабий; adj
кайрыл; v; act; imp
кайтар; v; act; imp
сык; v; act; imp
сыгуу; v; ger
сыгып; v; gna_perf
айтыш; v; act; imp
жашыр; v; act; imp
тынч; adv
шайлоо; v; ger
шайла; v; act; imp
шайлап; v; gna_perf
аякта; v; act; imp
аяктоо; v; ger
аяктап; v; gna_perf
материал; n; nom; sg; p3sg
роль; n; nom; sg; p3sg
камты; v; act; imp
камтуу; v; ger
камтып; v; gna_perf
аталыш; n; nom; sg; p3sg
салмак; n; nom; sg; p3sg
дил; n; nom; sg; p3sg
шаш; v; act; imp
ошент; v; act; imp
асыл; adj
жүгүрт; v; act; imp
көптө; v; act; imp
көптөө; v; ger
көптөп; v; gna_perf
төрөл; v; act; imp
принцип; n; nom; sg; p3sg
кылыш; v; act; imp
бүгүнкү; adj
тут; v; act; imp
кем; adj
көрсөткүч; n; nom; sg; p3sg
баянда; v; act; imp
тарткан; v; act; ind_past
жетиш; v; act; imp
кадимки; adj
кун; n; nom; sg; p3sg
койсо; v; act; cnd
соолук; n; nom; sg; p3sg
ини; n; nom; sg; p3sg
чаап; v; gna_perf
тип; n; nom; sg; p3sg
жолук; v; act; imp
жолугуу; v; ger
жолугуп; v; gna_perf
ашыр; v; act; imp
чыда; v; act; imp
чыдап; v; gna_perf
чыдоо; v; ger
айлана; n; nom; sg; p3sg
программа; n; nom; sg; p3sg
программист; n; nom; sg; p3sg
процессор; n; nom; sg; p3sg
процедура; n; nom; sg; p3sg
диск; n; nom; sg; p3sg
утилита; n; nom; sg; p3sg
браузер; n; nom; sg; p3sg
чычкан; n; nom; sg; p3sg
клавиатура; n; nom; sg; p3sg
наушник; n; nom; sg; p3sg
квант; n; nom; sg; p3sg
моль; n; nom; sg; p3sg
протон; n; nom; sg; p3sg
электрон; n; nom; sg; p3sg
нейтрон; n; nom; sg; p3sg
кварк; n; nom; sg; p3sg
фотон; n; nom; sg; p3sg
глюон; n; nom; sg; p3sg
мюон; n; nom; sg; p3sg
бозон; n; nom; sg; p3sg
жазма; adj
окшош; adj
төмөндөгү; adj
бекем; adj
татаал; adj
кары; adj
резидент; n; nom; sg; p3sg
ойло; v; act; imp
ойлоп; v; gna_perf
атындагы; adj
жайгаш; v; act; imp
түшүн; v; act; imp
башкача; adj
институт; n; nom; sg; p3sg
вуз; n; nom; sg; p3sg
көптөгөн; adj
объект; n; nom; sg; p3sg
минт; v; act; imp
суутек; n; nom; sg; p3sg
гелий; n; nom; sg; p3sg
литий; n; nom; sg; p3sg
берилий; n; nom; sg; p3sg
азот; n; nom; sg; p3sg
кычкылтек; n; nom; sg; p3sg
фтор; n; nom; sg; p3sg
неон; n; nom; sg; p3sg
магний; n; nom; sg; p3sg
алюминий; n; nom; sg; p3sg
кремний; n; nom; sg; p3sg
фосфор; n; nom; sg; p3sg
хлор; n; nom; sg; p3sg
аргон; n; nom; sg; p3sg
калий; n; nom; sg; p3sg
кальций; n; nom; sg; p3sg
скандий; n; nom; sg; p3sg
титан; n; nom; sg; p3sg
ванадий; n; nom; sg; p3sg
хром; n; nom; sg; p3sg
марганец; n; nom; sg; p3sg
кобальт; n; nom; sg; p3sg
никель; n; nom; sg; p3sg
цинк; n; nom; sg; p3sg
галлий; n; nom; sg; p3sg
германий; n; nom; sg; p3sg
мышьяк; n; nom; sg; p3sg
селен; n; nom; sg; p3sg
бром; n; nom; sg; p3sg
криптон; n; nom; sg; p3sg
рубидий; n; nom; sg; p3sg
стронций; n; nom; sg; p3sg
иттрий; n; nom; sg; p3sg
цирконий; n; nom; sg; p3sg
ниобий; n; nom; sg; p3sg
молибден; n; nom; sg; p3sg
технеций; n; nom; sg; p3sg
рутений; n; nom; sg; p3sg
родий; n; nom; sg; p3sg
палладий; n; nom; sg; p3sg
кадмий; n; nom; sg; p3sg
индий; n; nom; sg; p3sg
сурьма; n; nom; sg; p3sg
теллур; n; nom; sg; p3sg
йод; n; nom; sg; p3sg
ксенон; n; nom; sg; p3sg
цезий; n; nom; sg; p3sg
барий; n; nom; sg; p3sg
лантан; n; nom; sg; p3sg
церий; n; nom; sg; p3sg
празеодим; n; nom; sg; p3sg
неодим; n; nom; sg; p3sg
прометий; n; nom; sg; p3sg
самарий; n; nom; sg; p3sg
европий; n; nom; sg; p3sg
гадолиний; n; nom; sg; p3sg
тербий; n; nom; sg; p3sg
диспрозий; n; nom; sg; p3sg
гольмий; n; nom; sg; p3sg
эрбий; n; nom; sg; p3sg
тулий; n; nom; sg; p3sg
иттербий; n; nom; sg; p3sg
лютеций; n; nom; sg; p3sg
гафний; n; nom; sg; p3sg
тантал; n; nom; sg; p3sg
вольфрам; n; nom; sg; p3sg
рений; n; nom; sg; p3sg
осмий; n; nom; sg; p3sg
иридий; n; nom; sg; p3sg
платина; n; nom; sg; p3sg
сымап; n; nom; sg; p3sg
таллий; n; nom; sg; p3sg
коргошун; n; nom; sg; p3sg
висмут; n; nom; sg; p3sg
полоний; n; nom; sg; p3sg
астат; n; nom; sg; p3sg
радон; n; nom; sg; p3sg
франций; n; nom; sg; p3sg
радий; n; nom; sg; p3sg
актиний; n; nom; sg; p3sg
торий; n; nom; sg; p3sg
протактиний; n; nom; sg; p3sg
нептуний; n; nom; sg; p3sg
плутоний; n; nom; sg; p3sg
америций; n; nom; sg; p3sg
кюрий; n; nom; sg; p3sg
берклий; n; nom; sg; p3sg
калифорний; n; nom; sg; p3sg
эйнштейний; n; nom; sg; p3sg
фермий; n; nom; sg; p3sg
менделевий; n; nom; sg; p3sg
нобелий; n; nom; sg; p3sg
лоуренсий; n; nom; sg; p3sg
резерфордий; n; nom; sg; p3sg
дубний; n; nom; sg; p3sg
сиборгий; n; nom; sg; p3sg
хассий; n; nom; sg; p3sg
мейтнерий; n; nom; sg; p3sg
дармштадтий; n; nom; sg; p3sg
рентгений; n; nom; sg; p3sg
коперниций; n; nom; sg; p3sg
нихоний; n; nom; sg; p3sg
флеровий; n; nom; sg; p3sg
московий; n; nom; sg; p3sg
ливерморий; n; nom; sg; p3sg
теннессин; n; nom; sg; p3sg
оганесон; n; nom; sg; p3sg
метан; n; nom; sg; p3sg
ацетилен; n; nom; sg; p3sg
этилен; n; nom; sg; p3sg
этан; n; nom; sg; p3sg
тоулол; n; nom; sg; p3sg
глюкоза; n; nom; sg; p3sg
сахароза; n; nom; sg; p3sg
глицерин; n; nom; sg; p3sg
альдегид; n; nom; sg; p3sg
тыгыздык; n; nom; sg; p3sg
эритме; n; nom; sg; p3sg
кислота; n; nom; sg; p3sg
ион; n; nom; sg; p3sg
электролит; n; nom; sg; p3sg
эриткич; n; nom; sg; p3sg
анилин; n; nom; sg; p3sg
ацетон; n; nom; sg; p3sg
бензол; n; nom; sg; p3sg
камфора; n; nom; sg; p3sg
нитробензол; n; nom; sg; p3sg
фенол; n; nom; sg; p3sg
хлороформ; n; nom; sg; p3sg
басым; n; nom; sg; p3sg
ваакум; n; nom; sg; p3sg
эквивалент; n; nom; sg; p3sg
атом; n; nom; sg; p3sg
коэффициент; n; nom; sg; p3sg
химия; n; nom; sg; p3sg
органика; n; nom; sg; p3sg
органикалык; adj
келишим; n; nom; sg; p3sg
жыйна; v; act; imp
жыйнап; v; gna_perf
жыйноо; v; ger
коопсуздук; n; nom; sg; p3sg
сүйлөш; v; act; imp
чогул; v; act; imp
ээрчит; v; act; imp
маданий; adj
чал; n; nom; sg; p3sg
лексика; n; nom; sg; p3sg
даяр; adj
калыш; v; act; imp
быш; v; act; imp
салыштыр; v; act; imp
тап; v; act; imp
педагогика; n; nom; sg; p3sg
бетер; post
арык; adj
тал; n; nom; sg; p3sg
талда; v; act; imp
талдоо; v; ger
талдап; v; gna_perf
өлчөм; n; nom; sg; p3sg
жыгыл; v; act; imp
электрондук; adj
алба; v; act; imp; neg
оро; v; act; imp
ороо; v; ger
ороп; v; gna_perf
караса; v; act; cnd
кармаш; v; act; imp
ажырат; v; act; imp
узат; v; act; imp
арын; v; act; imp
сүйлөп; v; gna_perf
ченем; n; nom; sg; p3sg
сына; v; act; imp
сыноо; v; ger
сынап; v; gna_perf
кылын; v; pass; ind
кошумча; n; nom; sg; p3sg
саясий; adj
ойлон; v; act; imp
курак; n; nom; sg; p3sg
кыла; n; nom; sg; p3sg
тапшыр; v; act; imp
оозеки; adj
кутул; v; act; imp
расмий; adj
ишмердүүлүк; n; nom; sg; p3sg
керектүү; adj
колдо; v; act; imp
колдоо; v; ger
колдоп; v; gna_perf
түшөт; v; act; ind_fut
ыргыт; v; act; imp
айтыл; v; pass; imp
бербей; v; neg; gna_impf
тест; n; nom; sg; p3sg
бергиле; v; act; imp
термин; n; nom; sg; p3sg
төлө; v; act; imp
төлөп; v; gna_perf
салат; n; nom; sg; p3sg
тааныш; v; act; imp
сап; n; nom; sg; p3sg
жашын; v; act; imp
чарча; v; act; imp
чарчоо; v; ger
чарчап; v; gna_perf
бүтүр; v; act; imp
ката; n; nom; sg; p3sg
тактооч; n; nom; sg; p3sg
бошот; v; act; imp
карабас; v; fut_neg
туруш; v; ger_pres
токтол; v; act; imp
чыгар; v; act; imp
киргиз; v; act; imp
курулуш; n; nom; sg; p3sg
тике; adj
бактылуу; adj
мурунку; adj
айрыкча; adv
доктор; n; nom; sg; p3sg
жума; n; nom; sg; p3sg
шейшемби; n; nom; sg; p3sg
шаршемби; n; nom; sg; p3sg
бейшемби; n; nom; sg; p3sg
ишемби; n; nom; sg; p3sg
жекшемби; n; nom; sg; p3sg
көтөрүл; v; act; imp
укуктук; adj
жактыр; v; act; imp
кулжа; n; nom; sg; p3sg
теке; n; nom; sg; p3sg
батыш; n; nom; sg; p3sg
түштүк; n; nom; sg; p3sg
туруктуу; adj
айдап; v; gna_perf
айдоо; v; ger
жең; v; act; imp
көн; v; act; imp
тирүү; adj
толукта; v; act; imp
толуктоо; v; ger
толуктап; v; gna_perf
аш; v; act; imp
көбүрөөк; adj
метод; n; nom; sg; p3sg
куруу; v; ger
куруп; v; gna_perf
ушинт; v; act; imp
табуу; v; ger
табып; v; gna_perf
теория; n; nom; sg; p3sg
ашык; adv
анча; adv
де; v; act; imp
өп; v; act; imp
өбүү; v; ger
абдан; cnjcoo
жара; n; nom; sg; p3sg
жарап; v; gna_perf
асты; n; nom; sg; p3sg
көрүнүш; n; nom; sg; p3sg
жеш; v; ger
облус; n; nom; sg; p3sg
ас; v; act; imp
баса; mod
даана; adv
катта; v; act; imp
канчалык; prn; itg
көнүгүү; v; ger
көнүгүп; v; gna_perf
ушунча; adv
жуу; v; act; imp
жубуу; v; ger
жууп; v; gna_perf
өмүрүн; n; nom; sg; p3sg; acc
жөнөт; v; act; imp
үр; v; act; imp
дүйнөлүк; adj
жый; v; act; imp
биримдик; n; nom; sg; p3sg
оз; v; act; imp
кирин; v; act; imp
кара; v; act; imp
кайтала; v; act; imp
кайталап; v; gna_perf
кайталоо; v; ger
арна; v; act; imp
арнап; v; gna_perf
арноо; v; ger
каран; v; act; imp
ат; v; act; imp
өндүрүш; n; nom; sg; p3sg
тиле; v; act; imp
тилеп; v; gna_perf
тилөө; v; ger
алдындагы; adv
кечир; v; act; imp
аралаш; v; act; imp
кучакта; v; act; imp
небак; adv
өгүнү; adv
бүрсүгүнү; adv
эбак; adv
мурдагүнү; adv
ылдам; adv
жай; adv
бат; adv
тез; adv
кеч; adv
аздыр; adv
жогору; adv
илгери; adv
кийин; adv
ары; adv
бери; adv
эрте; adv
дал; adv
чапчаң; adv
тескери; adv
күздөй; adv
кыштай; adv
күздү-күздөй; adv
кышты-кыштай; adv
жазды-жаздай; adv
жайды-жайлай; adv
акчалай; adv
утурлай; adv
ылдамдай; adv
бекерге; adv
алга; adv
зорго; adv
күнүгө; adv
жылыга; adv
кээде; adv
күндө; adv
абалтан; adv
эзелтен; adv
эмитен; adv
жанатан; adv
акырын; adv
тымызын; adv
күнүн; adv
түнүн; adv
кышын; adv
жазын; adv
жайын; adv
күзүн; adv
эртеден; adv
мурдатан; adv
баштатан; adv
арытан; adv
беритен; adv
беритеден; adv
арытадан; adv
ыкчам; adv
күнгө; adv
түштө; adv
өйдө; adv
кокустан; adv
эмитен; adv
мурунтан; adv
азыртан; adv
кечкурун; adv
төмөн; adv
белен; adv
илгертеден; adv
ичкертеден; adv
жогортон; adv
жогортодон; adv
баягүнү; adv
капкачан; adv
кечке; adv
эртеңдерден; adv
бүрсүгүндөрдөн; adv
аргасыздан; adv
эрксизден; adv
жиндиликтен; adv
атайын; adv
акырын; adv
аста; adv
адамча; adv
айбанча; adv
бирге; adv
каадасынча; adv
адатынча; adv
мурункусунча; adv
кайта; adv
жайбаракат; adv
бачым; adv
ушунчалык; adv
кайра-кайра; adv
тез-тез; adv
бат-бат; adv
алыс-алыс; adv
илгери-илгери; adv
кез-кез; adv
ылдам-ылдам; adv
мурда-мурда; adv
сүйлөй-сүйлөй; adv
кезек-кезек; adv
каптап-каптап; adv
өйдө-ылдый; adv
чогуу-чаран; adv
өйдө-төмөн; adv
илгери-кийин; adv
олбуй-солбуй; adv
астын-үстүн; adv
чогуу-чаран; adv
эртели-кеч; adv
жайы-кышы; adv
оңду-солду; adv
кез-кезде; adv
аз-аздан; adv
бат-баттан; adv
топ-топтон; adv
анда-санда; adv
андан-мындан; adv
ойдон-тоодон; adv
кээде-кээде; adv
күндө-күндө; adv
анда-мында; adv
оозмо-ооз; adv
көзмө-көз; adv
бетме-бет; adv
жекеме-жеке; adv
колмо-кол; adv
айылма-айыл; adv
жүзмө-жүз; adv
шаарма-шаар; adv
түтүнмө-түнүн; adv
эртедир-кечтир; adv
күндүр-түндүр; adv
жайдыр-кыштыр; adv
катар-катар; adv
ачык-айкын; adv
соо-саламат; adv
аман-эсен; adv
ала-сала; adv
кайта-кайта; adv
бүгүн-эртең; adv
эртең-бүрсүгүндөрдөн; adv
ачыктан-ачык; adv
ээн-эркин; adv
аста-секин; adv
үстү-үстүнө; adv
улам-улам; adv
үстөкө-босток; adv
кайта-кайта; adv
уйгу-туйгу; adv
алка-шалка; adv
абыр-шыбыр; adv
ыйкы-тыйкы; adv
аз-маз; adv
бир-бирден; adv
көп-көптөн; adv
каралжым; adj
испан; n; nom; sg; p3sg
калмак; n; nom; sg; p3sg
француз; n; nom; sg; p3sg
улуу-кичүү; adj
жаш-кары; adj
узун-кыска; adj
ачуу-таттуу; adj
жоон-ичке; adj
арык-семиз; adj
кең-тар; adj
эстүү-баштуу; adj
жылуу-жумшак; adj
илимдүү-билимдүү; adj
ак-кара; adj
кызыл-тазыл; adj
эски-уску; adj
майда-чүйдө; adj
жаман-жуман; adj
оңой-олтоң; adj
жоон-жолпу; adj
одур-бодур; adj
оргу-баргы; adj
жакын-жукун; adj
тааныш-туунуш; adj
ачык-айрым; adj
жөө-жалаң; adj
